Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Lucien Storme,50,86,504,0,23,,,Belgium
Lucien Teisseire,1767,208,1942,636,28,,,France
Lucien Van Impe,7727,4638,2710,5439,29,59,167,Belgium
Ludo Delcroix,515,63,1346,90,29,,,Belgium
Ludo Dierckxsens,277,551,2136,148,35,71,181,Belgium
Ludo Loos,659,175,473,159,25,,,Belgium
Ludo Peeters,1852,1593,5671,1280,33,,,Belgium
Ludwig Wijnants,241,1,958,88,29,,,Belgium
Luigi Lucotti,915,46,1686,734,26,,,Italy
Luis Herrera,3502,1656,1174,2756,24,57,169,Colombia
Luis León Sánchez,5915,2993,1529,3072,25,73,186,Spain
Luis Ocaña,8685,8054,3373,1615,28,,178,Spain
Luís Otano,2937,2070,2188,292,32,,,Spain
Maarten Ducrot,575,239,578,107,27,,,Netherlands
Maciej Bodnar,883,3562,171,18,32,77,186,Poland
Mads Pedersen,1243,1567,2582,238,27,70,180,Denmark
Magnus Bäckstedt,627,1689,1736,41,23,94,194,Sweden
Magnus Cort,1058,775,1904,774,25,68,184,Denmark
Magnus Cort Nielsen,1058,775,1904,775,25,68,184,Denmark
Manuel Jorge Domínguez,365,0,1781,574,25,67,173,Spain
Marc Demeyer,575,327,5609,209,29,85,182,Belgium
Marc Hirschi,1122,279,65,1682,22,61,174,Switzerland
Marc Madiot,2487,323,2824,2924,25,68,179,France
Marc Sergeant,1485,1081,3264,474,28,,,Belgium
Marc Wauters,1714,2437,1639,73,32,73,185,Belgium
Marcel Bidot,1310,12,2085,278,27,,,France
Marcel Buysse,1182,0,2105,664,24,,,Belgium
Marcel Cadolle,623,44,422,182,21,,187,France
Marcel Dussault,112,436,437,57,24,,,France
Marcel Godivier,660,0,790,1008,24,71,168,France
Marcel Huot,440,0,859,377,32,,,France
Marcel Janssens,1050,438,2723,307,26,68,169,Belgium
Marcel Kint,915,905,3470,334,24,74,180,Belgium
Marcel Kittel,820,833,6218,1,29,82,188,Germany
Marcel Molinès,0,1,125,22,22,,,France
Marcel Queheille,623,44,422,182,29,,,France
Marcel Wüst,144,62,5681,19,33,,,Germany
Marco Lietti,371,43,744,35,26,,,Italy
Marco Pantani,3162,1469,1566,2780,28,58,172,Italy
Marcos Antonio Serrano,2921,798,826,1737,33,63,174,Spain
Marcus Burghardt,722,180,1023,128,25,75,189,Germany
Mariano Cañardo,4971,955,6740,186,31,77,174,Spain
Mariano Díaz,1566,672,1039,230,30,63,159,Spain
Mariano Martínez,3461,653,1628,2942,30,,,France
Marino Basso,537,50,96333,665,25,,,Italy
Marino Lejarreta,8829,4741,4657,2400,33,,,Spain
Mario Cipollini,168,1128,12328,152,32,77,189,Italy
Mario Minieri,261,12,768,66,24,,,Italy
Mario Traversoni,85,1,2060,95,25,,,Italy
Mark Cavendish,1472,712,12382,79,24,70,175,Great Britain
Martial Gayant,1198,418,2108,724,25,69,183,France
Martin Earley,1189,268,1303,506,27,62,173,Ireland
Martin Van Geneugden,412,54,3003,358,28,,,Belgium
Massimo Ghirotto,625,339,2086,999,29,,,Italy
Massimo Podenzana,1301,783,921,414,35,,,Italy
Matej Mohorič,2036,304,692,1534,27,72,186,Slovenia
Mathias Clemens,2119,819,2060,96,21,75,185,Luxembourg
Mathieu Hermans,539,76,4356,488,26,,172,Netherlands
Mathieu Van Der Poel,984,906,1554,815,26,75,184,Netherlands
Matteo Tosatto,930,283,1850,258,32,74,181,Italy
Matteo Trentin,742,296,3064,940,30,74,179,Italy
Matthias Kessler,488,54,676,582,27,70,172,Germany
Maurice Archambaud,2014,1692,2877,100,27,66,166,France
Maurice Blomme,322,390,1940,46,24,,,Belgium
Maurice Brocco,85,0,703,577,28,,,France
Maurice Dewaele,2504,0,3613,788,34,,,Belgium
Maurice Diot,78,51,1531,188,25,,,France
Maurice Garin,500,0,1547,538,32,60,162,France
Maurice Geldhof,200,0,380,307,22,,,Belgium
Maurice Izier,503,13,612,83,24,,,France
Maurice Quentin,559,12,932,254,33,,,France
Mauricio Soler,770,101,158,646,24,70,190,Colombia
Mauro Ribeiro,171,23,256,80,27,,,Brazil
Mauro Simonetti,499,292,894,115,23,,,Italy
Max Bulla,904,0,2638,116,26,75,172,Austria
Maximilian Sciandri,806,199,4634,852,28,75,187,Great Britain
Michael Boogerd,4226,1079,2768,2596,30,62,178,Netherlands
Michael Matthews,832,1642,3364,2074,27,72,178,Australia
Michael Rasmussen,1318,207,301,1493,31,58,174,Denmark
Michael Rogers,5362,5393,1009,1548,35,74,185,Australia
Michael Wright,1077,258,3448,786,32,,,Great Britain
Michał Kwiatkowski,3635,3549,766,3238,30,68,176,Poland
Michel Dejouhannet,0,1,549,12,24,,,France
Michel Laurent,5055,3743,1403,1060,30,,,France
Michel Pollentier,4387,5943,3962,1876,24,62,167,Belgium
Michel Van Aerde,973,107,2794,551,28,,,Belgium
Michele Dancelli,2324,556,7596,1266,27,,,Italy
Michele Orecchia,956,0,453,168,29,,,Italy
Miguel Ángel López,4054,752,146,4106,26,59,164,Colombia
Miguel Bover,519,754,1994,0,28,,,Spain
Miguel Induráin,9761,10857,3374,3651,27,79,188,Spain
Miguel María Lasa,6487,3692,9768,626,29,,,Spain
Miguel Poblet,3182,1970,11726,276,27,,,Spain
Mike Teunissen,1325,329,1586,164,27,73,184,Netherlands
Mogens Frey,78,602,184,72,29,,,Denmark
Moreno Argentin,1671,1214,5088,1247,31,66,175,Italy
Nairo Quintana,9296,1274,90,7720,28,59,167,Colombia
Nans Peters,380,69,80,521,26,71,177,France
Neil Stephens,944,693,890,120,34,65,171,Australia
Nello Lauredi,2531,1018,1936,789,28,,,France
Nelson Rodríguez,1025,5,366,352,29,,,Colombia
Nicki Sørensen,1367,469,852,503,24,71,182,Denmark
Nico Verhoeven,331,172,2118,30,26,,,Netherlands
Nicola Minali,122,46,4192,45,28,,,Italy
Nicolas Frantz,3503,16,6810,1524,29,,,Luxembourg
Niki Rüttimann,2347,563,1404,717,24,,,Switzerland
Nils Politt,980,1174,577,152,27,80,192,Germany
Nino Defilippis,2464,1844,5400,722,25,,,Italy
Norbert Callens,600,1,746,215,25,,,Belgium
Octave Lapize,500,0,1566,816,23,,,France
Odile Defraye,684,0,1494,484,24,,,Belgium
Olaf Ludwig,1399,1603,6944,140,32,,,Germany
Oliverio Rincón,2293,705,1073,1202,25,,,Colombia
Omar Fraile,655,169,195,974,28,72,184,Spain
Omer Huyse,744,0,749,456,26,,,Belgium
Omer Taverne,145,0,962,34,26,,,France
Oscar Egg,170,46,945,148,24,,,Switzerland
Óscar Freire,1342,225,7862,1296,30,63,171,Spain
Óscar Pereiro,2531,2087,586,1336,28,67,177,Spain
Ottavio Bottecchia,1770,0,2077,1078,31,,,Italy
Otto Weckerling,363,356,850,0,27,64,165,Germany
Pablo Lastras,1511,228,948,839,27,68,183,Spain
Paolo Bettini,1926,408,6070,2150,26,58,169,Italy
Paolo Savoldelli,3867,3554,1166,1560,32,72,180,Italy
Pascal Jules,651,548,938,328,23,,,France
Pascal Lino,1685,917,769,630,27,,,France
Pascal Poisson,765,1257,1372,425,26,,,France
Pascal Richard,2271,1465,3080,1404,32,67,177,Switzerland
Pascal Simon,4440,1648,1493,1234,26,,,France
Patrice Halgand,1545,114,2281,474,28,67,179,France
Patrick Konrad,2442,442,330,2561,30,64,181,Austria
Patrick Sercu,551,276,7656,108,33,76,180,Belgium
Paul Chocque,385,324,1028,15,27,71,174,France
Paul Duboc,1200,0,958,1506,26,67,168,France
Paul Egli,647,140,2312,35,25,72,172,Switzerland
Paul Le Drogo,135,0,827,0,24,,,France
Paul Lemeteyer,201,3,1649,94,25,,,France
Paul Maye,35,70,1327,38,23,67,197,France
Paul Wellens,1927,1073,927,1154,26,,,Belgium
Paulo Ferreira,125,0,367,0,22,,,Portugal
Pé Verhaegen,430,0,1164,434,25,,,Belgium
Pedro Delgado,8755,4283,2522,5816,28,64,171,Spain
Pedro Torres,4114,2349,2286,973,24,,,Spain
Pello Ruiz Cabestany,3240,2590,1936,1610,24,,,Spain
Peter De Clercq,609,75,2112,60,28,,,Belgium
Peter Sagan,1797,1335,9958,2528,28,75,182,Slovakia
Peter Winnen,3527,885,823,1618,25,60,170,Netherlands
Phil Anderson,5709,4764,7123,2073,24,,,Australia
Philippe Chevallier,312,32,258,4,22,69,183,France
Philippe Gilbert,4204,1423,5750,2106,30,75,178,Belgium
Philippe Leleu,322,163,1111,206,25,,,France
Philippe Thys,2160,0,2927,1671,33,,,Belgium
Pierino Baffi,882,98,4826,168,28,,,Italy
Pierre Beuffeuil,726,56,963,202,26,,,France
Pierre Cloarec,605,321,1499,38,30,78,173,France
Pierre Gallien,531,254,585,75,28,72,178,France
Pierre Jaminet,203,320,1174,2,27,70,170,France
Pierre Le Bigaut,281,67,818,231,24,,,France
Pierre Magne,1158,7,1156,392,23,,,France
Pierre Matignon,69,2,155,105,26,,,France
Pierre Molinéris,1086,31,1546,928,32,,,France
Pierre Rolland,3339,250,534,3300,26,70,184,France
Pierre-Henri Menthéour,305,54,680,143,24,,,France
Pierre-Raymond Villemiane,1283,360,2130,634,31,,,France
Pierrick Fédrigo,2731,369,2288,844,32,66,172,France
Pieter Weening,2801,403,568,1158,24,68,186,Netherlands
Pietro Guerra,636,415,1170,22,28,,,Italy
Pietro Tarchini,175,74,1287,29,26,,,Switzerland
Pino Cerami,1183,88,2908,748,42,72,174,Belgium
Piotr Ugrumov,3961,2446,1980,1202,33,58,174,Latvia
Pol Verschuere,195,127,1354,68,27,,,Belgium
Primo Mori,730,5,277,198,26,,,Italy
Primož Roglič,7154,5016,163,7012,31,65,177,Slovenia
Rafaele Di Paco,305,650,4949,266,24,,,Italy
Rafał Majka,5331,889,117,6064,25,62,173,Poland
Ramūnas Navardauskas,1025,1203,1116,304,26,79,190,Lithuania
Raoul Rémy,575,87,1903,508,29,,,France
Raphaël Géminiani,3908,933,2971,2496,25,,,France
Raúl Alcalá,3846,3187,1554,1608,26,,,Mexico
Raymond Decorte,320,0,865,252,29,,,Belgium
Raymond Delisle,4410,1918,2720,1963,26,,,France
Raymond Impanis,3938,1291,4327,1544,23,69,168,Belgium
Raymond Louviot,923,149,2471,9,31,,,France
Raymond Martin,2612,550,1060,1461,31,62,169,France
Raymond Mastrotto,2522,821,1088,452,33,,,France
Raymond Passat,553,166,819,12,26,71,175,France
Raymond Poulidor,12317,10527,6212,5184,29,,,France
Raymond Riotte,631,132,1518,208,27,,,France
Régis Clère,1080,1984,1182,246,31,,,France
Régis Delépine,362,60,2578,218,31,,,France
Régis Simon,606,243,877,129,27,,,France
René Binggeli,693,16,833,44,26,,,Switzerland
René Bittinger,1300,83,1156,536,25,69,174,France
René Le Grevès,633,572,4303,43,26,70,165,France
René Martens,689,342,1245,310,26,,,Belgium
René Pedroli,166,160,381,72,23,67,166,Switzerland
René Pottier,500,0,275,658,27,,163,France
René Privat,2008,322,3018,197,27,,,France
René Vietto,2540,810,2642,776,33,67,166,France
Riccardo Magrini,155,70,537,12,29,,,Italy
Richard Virenque,5344,973,3518,4615,30,65,179,France
Rigoberto Urán,5898,1804,744,6540,30,63,173,Colombia
Rik Van Linden,470,336,7418,310,26,,,Belgium
Rik Van Looy,3325,1066,15687,1246,30,73,178,Belgium
Rik Van Steenbergen,1164,456,6650,256,25,83,186,Belgium
Rik Verbrugghe,1254,2357,837,541,27,70,180,Belgium
Rini Wagtmans,1515,994,1856,1076,25,,,Netherlands
Rino Benedetti,597,26,5267,222,34,,,Italy
Rob Harmeling,219,279,714,36,28,76,187,Netherlands
Robbie Mcewen,1444,113,134446,622,33,67,171,Australia
Robert Alban,2386,456,372,1454,29,,,France
Robert Cazala,1434,210,2588,191,28,,,France
Robert Hunter,1111,1325,4203,68,30,72,178,South Africa
Robert Jacquinot,198,0,1024,204,30,75,173,France
Robert Millar,7383,2248,2536,2960,31,,,Great Britain
Robert Varnajo,98,36,943,49,25,,,France
Robert Wierinckx,234,4,666,7,21,72,172,Belgium
Roberto Conti,2279,407,722,1261,30,,,Italy
Roberto Laiseka,1941,945,456,1418,32,63,184,Spain
Rodolfo Massi,1618,193,1500,448,33,,,Italy
Roger De Breuker,90,20,494,60,33,,,Belgium
Roger De Vlaeminck,4110,3870,18746,1580,23,74,181,Belgium
Roger Hassenforder,221,116,1858,32,26,,,France
Roger Lambrecht,800,628,526,361,33,,,Belgium
Roger Lapébie,1875,700,3337,67,23,,,France
Roger Lévêque,180,86,360,46,31,,,France
Roger Pingeon,3688,3050,1530,2010,28,,,France
Roger Rivière,1076,1540,906,154,24,,,France
Rohan Dennis,2793,6340,222,962,25,72,182,Australia
Rolf Gölz,1622,1992,2256,786,26,,,Germany
Rolf Graf,1118,2050,1766,115,27,,,Switzerland
Rolf Järmann,1763,352,2051,230,26,73,182,Switzerland
Rolf Sørensen,2947,2882,6179,1173,29,70,178,Denmark
Rolf Wolfshohl,3150,1762,3372,1065,29,,,Germany
Romain Bardet,6121,391,366,7578,26,65,185,France
Romain Bellenger,930,0,2381,971,30,76,176,France
Romain Maes,632,980,1758,71,23,68,160,Belgium
Ronald De Witte,1930,395,3131,750,29,,,Belgium
Rubén Plaza Molina,2409,2019,698,1126,35,77,191,Spain
Rubens Bertogliati,572,1161,216,256,23,73,180,Switzerland
Rudi Altig,2465,3466,6368,799,29,,,Germany
Rudy Dhaenens,568,104,1824,220,25,,,Belgium
Rudy Matthijs,206,286,1759,170,25,,,Belgium
Rudy Pevenage,828,118,2814,545,26,,,Belgium
Rui Costa,6196,1593,662,5326,27,69,183,Portugal
Salvador Cardona,2030,54,2056,226,28,68,164,France
Salvatore Commesso,395,40,2004,332,25,66,164,Italy
Sam Bennett,375,135,5822,130,30,73,178,Ireland
Samuel Dumoulin,1279,91,5379,272,28,57,159,France
Samuel Sánchez,6959,2533,2420,6120,33,65,175,Spain
Sandy Casar,3014,1169,1220,1783,31,63,179,France
Santiago Botero,2385,3062,626,1114,30,75,175,Colombia
Sauveur Ducazeaux,155,34,957,0,26,65,170,France
Seamus Elliott,1366,168,3610,150,29,,,Ireland
Sean Kelly,10492,7536,18813,5450,24,77,180,Ireland
Sean Yates,1185,2881,1710,64,28,74,185,Great Britain
Sepp Kuss,2292,300,42,3042,27,61,182,US
Serafino Biagioni,973,236,1046,496,31,,,Italy
Serge Baguet,498,22,1860,244,32,67,177,Belgium
Serge Demierre,692,672,1440,72,27,70,174,Switzerland
Serge Parsani,222,192,438,36,27,,,Italy
Sergei Ivanov,1596,908,2982,560,26,73,180,Russia
Sérgio Paulinho,771,670,137,410,30,64,172,Portugal
Serhiy Honchar,2651,6659,691,1072,36,67,177,Ukraine
Serhiy Utchakov,519,100,1093,196,27,73,179,Ukraine
Servais Knaven,1542,2162,1744,41,32,68,178,Netherlands
Simon Clarke,1475,134,1451,1368,36,63,175,Australia
Simon Gerrans,2136,381,1493,1252,33,62,169,Australia
Simon Geschke,1428,660,648,1549,29,64,171,Germany
Simon Yates,5100,1133,299,5547,27,58,172,Great Britain
Søren Kragh Andersen,1311,1791,738,384,26,73,178,Denmark
Stan Ockers,3542,1623,5436,3015,30,61,165,Belgium
Stanislas Bober,199,6,558,158,23,,,France
Stefan Mutter,2305,932,3078,688,26,,,Switzerland
Stefano Zanini,541,263,3896,340,31,80,181,Italy
Stephen Roche,8464,7673,3231,2322,28,74,175,Ireland
Steve Bauer,2000,2008,3557,773,29,72,170,Canada
Steve Cummings,1558,1620,392,696,35,73,190,Great Britain
Steven Rooks,3679,1725,2638,2694,29,,,Netherlands
Stuart O'Grady,2325,2014,7690,987,31,73,176,Australia
Sylvain Calzati,495,72,354,77,27,68,177,France
Sylvain Chavanel,5530,5589,2526,1368,31,73,181,France
Sylvère Maes,2145,2364,3372,350,27,70,168,Belgium
Tadej Pogačar,5444,1853,226,6261,23,66,176,Slovenia
Theo Middelkamp,150,229,1366,19,22,75,175,Netherlands
Theo Smit,39,56,1318,70,24,,,Netherlands
Theophile Beeckman,1443,0,1536,738,28,,,Belgium
Thibaut Pinot,6903,1544,198,7736,29,63,180,France
Thierry Claveyrolat,2092,63,2256,800,32,,,France
Thierry Marie,2488,7547,1918,196,28,,,France
Thomas De Gendt,1287,2230,467,1632,33,73,179,Belgium
Thomas Voeckler,3209,566,2802,1965,33,71,174,France
Thor Hushovd,1137,2015,8600,789,32,83,183,Norway
Tim Merlier,84,3,4206,4,29,76,188,Belgium
Tom Boonen,1762,1146,11272,64,27,82,192,Belgium
Tom Dumoulin,4404,6256,326,3160,26,69,185,Netherlands
Tom Pidcock,731,67,284,1308,23,58,170,Great Britain
Tom Steels,155,197,6501,82,28,73,179,Belgium
Tommaso De Pra,231,2,472,198,28,,,Italy
Toni Rominger,8732,11013,4000,3504,32,65,175,Switzerland
Tony Gallopin,2384,1086,1269,2250,26,69,181,France
Tony Martin,3738,10664,820,829,29,75,185,Germany
Tyler Farrar,856,966,6026,124,27,73,183,US
Tyler Hamilton,3097,4359,532,8748,32,65,172,US
Urs Freuler,296,1706,4760,47,23,,,Switzerland
Valerio Tebaldi,341,56,362,225,24,,,Italy
Vasco Bergamaschi,785,564,2327,226,26,,,Italy
Viatcheslav Ekimov,5306,8229,4722,916,25,69,176,Russia
Vicente López Carril,5213,1271,2334,1771,34,,,Spain
Vicenzo Borgarello,305,0,978,282,28,,,Italy
Victor Fontan,1814,0,1559,241,30,66,164,France
Vincent Barteau,212,106,1386,100,27,,,France
Vincenzo Nibali,9868,3753,948,9247,30,65,181,Italy
Vincenzo Rossello,930,128,1300,548,26,,,Italy
Vito Favero,743,292,1997,418,27,,,Italy
Vladimir Efimkin,1354,215,449,806,27,67,181,Russia
Walter Diggelmann,828,0,1668,111,37,,,Switzerland
Walter Generati,855,340,1076,19,24,,,Italy
Walter Godefroot,901,252,10214,1781,30,73,171,Belgium
Walter Planckaert,607,246,6522,220,30,,,Belgium
Warren Barguil,2905,99,278,3835,26,61,183,France
Wilfried David,1351,570,1086,174,27,,,Belgium
Wilfried Nelissen,307,206,4284,122,23,,,Belgium
Willi Oberbeck,31,1,282,0,28,,,Germany
Willy Derboven,110,140,604,65,25,,,Belgium
Willy Kemp,660,92,678,220,30,,,Luxembourg
Willy Planckaert,540,75,4931,231,22,,,Belgium
Willy Teirlinck,1069,499,5103,524,24,,,Belgium
Willy Van Neste,1939,304,2133,732,23,,,Belgium
Willy Vanden Berghen,147,288,769,85,23,76,183,Belgium
Willy Vannitsen,149,92,2982,141,27,,,Belgium
Wim Van Est,2516,2375,4678,450,30,,,Netherlands
Wladimiro Panizza,5929,986,5648,2094,31,,157,Italy
Wout Van Aert,1146,2654,1956,1774,27,78,190,Belgium
Wout Wagtmans,2149,504,2984,550,26,,,Netherlands
Yaroslav Popovych,2540,1421,1063,1236,26,64,175,Ukraine
Yves Hézard,2563,2875,1174,836,24,,,France
Yves Lampaert,1409,2327,1676,183,31,75,180,Belgium
Zdeněk Štybar,1449,225,1787,629,30,68,183,Czech Republic
Zenon Jaskuła,2161,2519,914,558,31,76,183,Poland
