Rider,General Classification,TT,Sprint,Climb,Age,Weight,Height,Country
Constant Ménager,490,0,183,726,20,76,171,France
Custodio Dos Reis,151,30,234,60,28,,,Morocco
Cyril Dessel,1117,169,484,515,34,63,181,France
Cyril Saugrain,57,2,528,16,23,62,170,France
Cyrille Guimard,1528,914,5517,1550,25,,,France
Cyrille Van Hauwaert,630,0,1635,1016,26,,,Belgium
Daan De Groot,321,9,983,40,22,,,Netherlands
Dag Otto Lauritzen,762,550,1047,239,32,,,Norway
Dan Martin,6005,454,514,6650,32,59,175,Ireland
Daniel Martínez,2519,1095,34,1996,24,63,172,Colombia
Daniel Van Ryckeghem,436,120,4227,486,23,,,Belgium
Daniel Willems,1725,3498,3722,384,26,,,Belgium
Daniele Bennati,1090,1107,6323,512,27,71,183,Italy
Daniele Nardello,2354,1983,2285,1420,26,74,181,Italy
Dante Gianello,891,189,1115,107,26,57,160,France
Dario Frigo,2928,2756,1700,1792,29,66,181,Italy
Daryl Impey,1891,1005,1484,1122,35,72,181,South Africa
David Etxebarria,1991,707,2722,1091,26,55,164,Spain
David Millar,2695,9090,906,434,35,79,191,Great Britain
David Moncoutié,3562,1097,1760,1932,30,69,180,France
David Zabriskie,1075,4951,303,163,26,67,183,US
Davis Phinney,328,230,2518,24,28,,,US
Denis Menchov,5568,3182,982,3792,28,65,180,Russia
Désiré Keteleer,1657,228,3802,356,29,,,Belgium
Didier Rous,2663,1808,1994,662,27,70,182,France
Dietrich Thurau,2943,4992,4038,869,23,,,Germany
Dimitri Konychev,778,106,4622,1060,24,77,186,Russia
Dino Bruni,173,5,2126,270,30,,,Italy
Djamolidine Abdoujaparov,486,335,6202,528,29,72,174,Uzbekistan
Dominique Forlini,96,8,722,90,30,,,France
Dominique Gaigne,516,791,354,85,22,,,France
Dylan Groenewegen,355,15,7301,38,26,70,177,Netherlands
Dylan Teuns,2628,528,434,2658,29,64,181,Belgium
Eddy Merckx,13710,12806,18274,5974,29,74,182,Belgium
Eddy Pauwels,1906,228,1205,803,26,,,Belgium
Eddy Planckaert,514,184,8500,566,28,69,177,Belgium
Eddy Seigneur,1157,2575,1022,76,25,71,180,France
Eddy Verstraeten,91,140,1919,116,25,,,Belgium
Edgard Sorgeloos,1293,58,3971,72,35,,,Belgium
Edmond Pagès,110,95,305,4,28,70,170,France
Édouard Fachleitner,955,102,529,484,26,,,France
Édouard Muller,90,4,688,81,32,,,France
Eduardo Chozas,3807,590,1749,956,30,,,Spain
Edvald Boasson Hagen,3641,2957,6008,1012,24,75,180,Norway
Edward Sels,467,84,4850,292,25,,,Belgium
Edward Van Dijck,711,362,1410,404,30,,,Belgium
Edward Vissers,854,1066,1320,226,27,65,168,Belgium
Edy Schütz,1468,837,432,558,25,72,176,Luxembourg
Elia Viviani,993,160,7622,276,30,67,178,Italy
Éloi Meulenberg,50,156,2400,122,26,73,170,Belgium
Éloi Tassin,146,257,822,18,22,35,,France
Émile Baffert,121,12,588,55,26,,,France
Emile Daems,447,196,3229,294,24,64,167,Belgium
Emile Engel,200,0,518,242,25,,172,France
Emile Georget,1556,0,1272,2228,26,,,Belgium
Émile Georget,1556,0,1272,2228,25,,,France
Emile Idée,16,286,1490,134,29,,,France
Emile Masson,1061,0,1770,771,34,,,Belgium
Émile Masson Jr.,171,2,844,169,23,,,Belgium
Ercole Baldini,1531,2818,2246,402,26,,,Italy
Ercole Gualazzini,195,4,1688,13,30,,,Italy
Eric Leman,274,147,5972,396,25,,,Belgium
Eric Vanderaerden,1781,5163,10270,230,23,74,182,Belgium
Erich Bautz,642,366,1876,0,24,72,175,Germany
Erich Mächler,1342,1527,1328,212,26,,,Switzerland
Erik Breukink,5930,5756,1785,1469,25,70,185,Netherlands
Erik De Vlaeminck,384,173,1613,218,23,,,Belgium
Erik Dekker,3240,3688,2988,672,30,66,182,Netherlands
Erik Zabel,1428,113,19290,1886,30,69,178,Germany
Ernest Paul,1157,0,661,1124,29,,,France
Ernesto Azzini,741,420,758,263,25,,,Italy
Eros Poli,311,30,109,100,31,87,194,Italy
Etienne De Wilde,862,488,6802,200,31,70,172,Belgium
Ettore Meini,171,3,1850,30,31,,,Italy
Eugène Christophe,2087,0,2596,1808,27,63,162,France
Eugenio Gestri,450,21,882,100,26,72,170,Italy
Evgueni Berzin,3048,3737,1127,621,26,64,170,Russia
Fabian Cancellara,1866,12000,2865,379,31,80,186,Switzerland
Fabien Galateau,654,159,1147,28,26,76,176,France
Fabio Aru,3573,580,182,4034,27,63,183,Italy
Fabio Baldato,789,264,6790,486,22,60,180,Italy
Fabio Battesini,235,9,1502,4,19,,,Italy
Fabio Jakobsen,143,38,3709,6,26,78,181,Netherlands
Fabio Parra,3234,1449,337,2644,28,,,Colombia
Fabio Roscioli,892,230,1196,245,28,,,Italy
Fausto Coppi,4930,3175,6131,2568,33,72,177,Italy
Federico Bahamontes,5037,3145,4928,1334,35,,,Spain
Federico Echave,5472,1853,2922,1793,27,,,Spain
Fédérico Ezquerra,2683,789,4804,59,27,63,175,Spain
